polygon_id,rentdemand1,rentdemand2,rent_act,newconstr_type,newconstr_amt,homebuy,homebuild,desirability,notes,source,date,no193,name,sec_grade,area_num,desc_terrain,favor_influences,detr_influences,inhab_type,fam_income,predom_eth,pct_predom_eth,black,pct_black,infiltration,relief_fam,pop_inc,pop_dec,data5_g_3,build_type,build_constr,build_age,build_repair,price1929,lowrent_predom,lowrent_pct,yr_current,currentprice,currentprice_predom,currentprice_pct,currentrent,currentrent_predom,currentrent_pct,peakprice,price1929_predom,peakprice_rel1929,peakrent,peakrent_rel1929,rent1929,rent1929_predom,yr_low,lowprice,data7__60,lowprice_predom,lowprice_pct,lowrent,pct_landocc,pct_homeocc,pct_homeown,salesdemand1,salesdemand2,sales_act
148,Yes,3-4 rm tenement,Yes,None,none,none,none,Static,"Rent decline due to improvidence of occupants. All work in Republic Steel, about 3 blocks away from the area.",Tom Boyle,,,"Warren, Ohio",D,1,Flat - lowest built up section of city.,"Close to mill. Business center available. Schools near, within walking distance of shopping center.",Concentration of disorderly houses along Fulton Street. Heavy paving assessment on Fulton Street. So. Park Ave Walnut street. Low grade population.,Laborers,850,Mixed,10,Yes,90,No,Many,Yes,,,"Singles, used as two-family",Frame,50,Poor,$2000 - 2500,10,40%,,"1,500 - 1,800",1500,75%,15 - 25,20,80%,28-29,"$2,000",100,1929,,$25 - 40,$25,1933,900 - 1200,,1000,50,5 - 10,90,95,10,None,,None
15,Owner occupancy,,,None,None,Good,Good,,,,,,"Richmond, Virginia",B,6,Very rolling,,,Better people,"$4,000 - 6,000",,0,,0,0,0,No,No,,Singles,Brick and Frame,5 to 10 years,Good,"$7,000 - $20,000",,,1937,,"$8,000",,Owner occupancy No rental space,,,,"$9,000",,,,Owner occupancy No rental space,,1932,,,"$8,000",,Owner occupancy No rental space,50%,100%,100%,Limited,"$7,000",none
150,Yes,Small singles,Very slight,,None,No,No,Static,"Not quite as good as D-1, 20% lower rentals, 50% lower sales values. City dump adjacent to this property on west. Dump between Hayden and Steele Sts.",Tome Boyle,,,Warren Ohio,D,2,Flat,Near Republic Steel Mill. Neighborhood stores.,Old property - Overflow at times of high water no schools.,,700,General,10,Yes,90,,Many,Yes,,,4-5 rm singles,Frame,20,Poor,$2000 - 2500,10,40%,,"1,500 - 1,800",1500,75%,15 - 25,20,80%,28 - 29,"$2,000",100,,,$25 - 40,$25,1933,"900 - 1,200",,1000,50%,5 - 10,80,100,75,No,,None
151,Fair,Singles $15 - $20,Fair,No,No,Limited,None,Static,Section was built around old Western Reserve Steel Mill. This mill is gone now. This section probably worst in the city.,Tom Boyle,,,"Warren, Ohio",D,3,Flat but high enough to be secure from floods,Air Reduction Sales Company. Chicago Car Roofing Co. One Steel Mill also in area. School but no churches. Bus transportation.,B&O Railroad & Earie R.R. pass through area. Some streets unimproved,Factory workers,850,Mixed,65,Yes,20,No,Few,Yes,,,2 apt. houses in area 4-5-6 rm singles,Frame,20,Fair,$2000 - 3000,12,60%,,"1,100 - 2,100",1200,48%,15 - 30,20,100%,1929,"$2,500",,1929,,$15 - 30,$20,1932,1000 - 1800,,1000,40%,10 - 15,82,100,75,Slight,"5-rm singles $1,500",None
152,Good,$30 - $35 singles,Fair,Very few,None,Limited,Limited,Slowly downward,"Section is ""killed"" by influx of negroes from D-3 to attend Francis Willard School in C-8",Tom Boyle,,,"Warren, Ohio",C,8,Level,"Factories near northwest section of this area. Restrictions - zoning residential. School, some churches. Stores adjacent on Niles Road & Youngstown Road.",,Mill workers,1500,Mixed,85,Yes,5,No,No,Yes,,,5-6 rm singles,Frame,25,Good,$1500 - 5000,20,57.10%,,1500 - 4000,3000,100%,25 - 37.50,30,85.10%,,3000,,,,$30 - 40,$35,1932,1200 - 3200,,2500,83.30%,20 -25,70,100,80,Good,"$3,000 singles",Fair
153,Good,Singles @ $25 - $30,Poor,Singles,15 - 20 West of the Park,Limited,Limited,Static except in west extremity where possibly up.,About 200 bungalows west of Austin. Todd Avenue out of city limits (south) good prospects for favorable development.,W.E. Lynn,,,"Warren, Ohio",C,5,Generally level with very slight slope toward river.,"West side Jr. High School Palmyra & Austin, 3 churches. Neighborhood stores along Market, Highland Avenues. Quinby Park.",Southeastern portion of the area characterized by foreign and negro.,"Factory workers, merchants and business men",1200,"Polish, Italian and Hungarian",30,Yes,10,Mixed foreign,Many in S.E. part,High birth rate in S.E. part,,,6-room singles,Frame,West of Austin 12 yrs.; No. Central Sec 25 yrs.; S.E. Section 25 yrs.,Fair,$2500 - 4500,20,66.70%,,"2,200 - 3,750",2850,89.10%,25 - 32.50,30,100%,1921,"$3,200",110,1921,110,$25 - 35,$30,1932,2000 - 3500,,2500,78.10%,15 - 25,80,100,65,Fair,"Singles @ $2,800",Fair
154,Good,$75 singles,Good,"$15,000 singles",Substantial - about 20,Ample,Ample,"Problematical - If restrictions are enforced as originally set out, trend of desirability will be upward.","Information is that holding company has offered lake to city free, subject to conditions that city would maintain water at certain level in lake,etc., but offer has been withdrawn.  Abandonment of lake or its destruction will seriously affect values and desirability of this area.  The opinion was expressed that abandonment of lake would affect desirability of section and cause values to decline and likewise would lower tax assessments and for this reason lake would be maintained even though it was necessary for city to take it over.","Wm. Coleman, Loan Service Field Representative, and Hugh G. Hall, HOLC, Fee Property Appraiser.",August 20,7,"Asheville, N.C.",A ,1,Mountainous,All city convenience - Golf Course - Mountain View - Swimming Pool - Lake - Adequate Bus Transportation.  Originally highly restricted.,"About 85% undeveloped and several hundred vacant lots as well as adjoining acreage, golf course, lake and swimming pool are owned by holding company for defunct mortgage company which acquired property by foreclosure.  Sales program on vacant lots now getting under way but considerable speculation as to restrictions which will appear under the new program.",Executives and business men and Professional men.,4000 upward,None,,None,,None,None,Slowly,,,Large singles,Brick-Stone-Masonry,10 years,Good,"$6,000-35,000",60,80%,,"6,000-25,000","3,000",85%,50-100,75,100%,1925-1926,"17,500",130%,1925-1926,130%,$50-150,$75,1933,"5,000-20,000",,"12,500",67%,35-100,15%,100,50%,Good,"$15,000 single",Good
155,Good,$75 singles,Good,"$15,000 singles",Substantial - about 2 ,Ample,Ample,Upward in Northern Section,"Southern part of area South and East of Golf Links is known as ""Grove Park"" and is about 90% built up with beautiful expensive homes predominating.  This part of the area is the older part but is still ""tops"".  The part of the area West of the Golf Links and Kimberly Avenue contains the lower prices properties.  All new construction is in that part of the area lying North of the Golf Links, this being the part more recently developed.","Wm. Coleman, Loan Service Field Representative, and Hugh C. Hall, HOLC Fee Property Appraiser.",Aug. 20,7,"Asheville, N.C.",A ,2,Rolling and mountainous,"Adjoins Asheville Country Club & Golf Course - Grove Park Inn, famous as one of the leading resort hotels in the country - Magnificent mountain view - Schools in area - adequate transportation - all city conveniences.  Parkways in middle of streets and grass plots on sidewalks maintained by ""Grove Park"" Park Commision with property owners assessed 10 cents per front foot for this maintenance.  Recognized as the most ideal spot around Asheville for the average business or professional man to reside.",None,Business Executives - Professional men and Capitalists,6000 upwards,None,,None,,None,None,Slowly in Northern part,,,Large singles - a few higher-price apartments and duplexes,Brick,15 years,Good,"$7500-50,000",60,60%,,"6500-35,000","15,000",85%,45-150,75,75%,1925-1926,"$17,500",130%,1925-1926,130,$45-200,$100,1933,"6500-35,000",,"12,500",57%,40-150,75%,100,85%,Good,"$15,000 singles",Good
156,Good  ,All types,Good  ,"$20,000 Singles",Substantial - about 20,Ample,Ample,Upward,"That part of the area lying along Hendersonville Road, White Oak Road and Buena Vista Road contains the lower priced properties.  The remainder of this area contains nothing but higher priced properties.  It is an exclusive development joined on the North, West and South by the Biltmore Estate, former home of George W. Vanderbilt, deceased, containing 12,000 acres and the famous Biltmore House.","Wm. Coleman, Loan Service Field Representative and Hugh C. Hall, HOLC Fee Property Appraiser.",August 20,7,"Asheville, N.C.",A,3,Rolling,Highly restricted residential area and restrictions strongly enforced.  All city conveniences except gas.  Private country club with golf course located in area.  All residences are in higher-priced class.  Private bus transportation.,"None except the fact that the Eastern side of Hendersonville Road is not restricted and there are small stores and tourist cabins located on that side, which adversely affects properties fronting on Western side of road.",Business Executives - Professional men - Capitalists,"6,000 upward",None ,,None,,None,None,Slowly,,,Large single family,Brick - Stone - Stucco Tile,10 years,Good,"$7500-75,000",150,75%,,"7500-75,000","25,000",100%,50-250,175,87%,1925-1926,"$25,000",130%,1925-1926,130,$50-250,$200,1933,"6000-75,000",,"20,000",80%,40-250,10%,100,95%,Good  ,"$25,000 Singles",Good  
157,Good,$45 singles,Good,None,None,Ample,Ample,Static,That part North of Edgewood is best part of area.,"Wm. Coleman, Loan Service Field Representative and Hugh C. Hall, HOLC Fee Property Appraiser.","Aug. 20, 1937.",,"Asheville, N.C.",B,1,Rolling.,"All city conveniences, adequate transportation close to community business center - schools - churches.  Only short distance to Beaver Lake Swimming Pool and Golf Course.","Encroachment of Tourist homes along Merriman Avenue, which is just East of the area.",Professional men - Clerical Business men,2400-4000,None,,None,,None,None,,,,"Small singles, few duplexes",Brick Veneer - Frame,12 years,Good,"$5000-20,000",40,80%,,"4000-12,500","7,500",83%,35-75,45,90%,1925-1926,"$9,000",130%,1925-1926,130,$35-100,$50,1933,"4000-12,000",,"6,000",67%,25-60,75%,100,50%,Good,$7500 singles,Good
158,Nothing for rent,,,None,None,Ample,Ample,Static to downward,"This area contains about a dozen houses, all large single family and expensive and misplaced.  Future development, if any, will probably be in the medium to lower priced range.","Wm. Coleman, Loan Service Field Representative",Sept. 1,7,"Asheville, N.C.",B,10,Rolling,All city conveniences - close to schools and colleges.,Railroad yards and roundhouses on Southwest - Inadequate transportation.  No restrictions.,Executives & Business men,2500 up,None,,None,,None,None,,,,Large singles,Brick & Frame,25 years,Good,"$8000-25,000",,,,"8000-25,000","10,000",80%,Nothing for rent,,,1925-1926,"$12,500",130%,Nothing for rent,,Nothing for rent,,1933,"6000-18,000",,"8,000",64%,Nothing for rent,40%,100,100%,None,None,None
159,Good,$45 singles,Good,None,None,Ample,Ample,Static to downward,"Area not restricted- general in type of property and development.  Good, bad and indifferent houses all over area.","Wm. Coleman, Loan Service Field Representative and Hugh C. Hall, HOLC Fee Property Appraiser.",Aug. 20,7,"Asheville, N.C.",B,2,Rolling,All city conveniences - adequate transportation - close to schools - churches and main business section.,"On eastern side of area, (which is the foot of Sunset Mountain) are some obsolete tubercular sanitariums.  However, these buildings are gradually being razed and it will only be a short time until all are removed.","Business men-professional men, Clerks",1200 up,Some ,1/2 of 1,None,,None,None,,,,Small singles- some apartments and duplexes.,Frame,25 years,Fair,"$3500-10,000",35,70%,,"3000-10,000","5,500",85%,30-75,45,90%,1925-1926,"$6,500",130%,1925-1926,130,$30-75,$50,1933,2500-8000,,"4,500",69%,20-50,95%,100,50%,Fair,$5000 singles,Fair
16,Good,$20 - $22.50,All occupied,None,None,50% of Appraisal,None,Working men's homes--cheap construction will decline,"Easternmost limits north of the park are $6,000 to $8,000 bricks; balance small frame bungalows called ""chicken coops"".",,,,"Richmond, Virginia",C,3,Rolling,,"Abandoned quarry southeast oval ""O""",Working people--laborers,"$1,500 - $2,500",,0,,0,0,limited,a little,no,,1 story bungalow,cheap frames,5 to 10 years,fair only,"$2,500 - $3,000",$20,,1937,,"$1,700",,,$20 - $22.50,,,"$2,500",,,,,$25,1933,,,"$1,400",,,70%,100%,10%,Fair,"$1,700 - $2,500",Fair
160,Good,$40 singles,Good,None,None,Ample,Ample,Static to downward,"Montford Avenue at one time was one of the best residential streets in the city and there are many large, beautiful homes occupied by very substantial citizens.  Pearson Drive also has many large, expensive homes.  The trend, however, is not in this direction and while the area is still a very desirable place in which to live, the increasing age of the properties and encroachment into immediate adjoining areas of lower income group will eventually have a detrimental effect in this area.  ","Wm. Coleman, Loan Service Field Representative and Hugh C. Hall, HOLC Fee Property Appraiser.",Aug. 20,7,"Asheville, N.C.",B,3,Rolling to hilly,Close to center of city - all city conveniences - adequate transportation - parking area.,Age of properties - surroundings - hospital in area,Business men - Executives - Professional men,2000 upward,None,,None,,None,None,,,,Large and small singles,Frame - Brick,25 years,Good,"$3500-17,500",35,77%,,"3000-12,500","6,000",80%,30-55,40,88%,1925-1926,"$7,500",130%,1925-1926,130,$30-65,$45,1933,"3000-12,500",,"5,000",66%,20-45,85%,100%,55%,Fair,$5000 singles,Fair
161,Good,$45 singles,Good,Small singles,Mediocre,Ample,Ample,Northern part upward - Southern part static to downward.,"Southern part of this area is known as ""Old Kenilworth"" and is about 80% developed.  Northern part is known as Kenilworth addition and Fountainbleau and is only about 10% developed.  Central Western portion is known as Forest Hills.","Wm. Coleman, Loan Service Field Representative and Hugh C. Hall, HOLC Fee Property Appraiser.",Aug. 20,7,"Asheville, N.C.",B,4,Rolling and mountainous,"All city conveniences - close to schools, churches and business center.  Adequate transportation.","Negro settlement in area - Sanitarium for those suffering nervous ailment, located on Caledonia Road (formerly Kenilworth Inn).  Smoke from railroad.",Professional men - Business men - Clerical - Railroad employees,1500 up,None,,None,,None,None,slowly,,,Large and small singles,Brick Veneer & Frame,20 years,Good,"$4000-35,000",30,50%,,"4000-15,000","6,000",70%,30-60,45,75%,1925-1926,"8,500",130%,1925-1926,130,$35-100,60,1933,"3000-15,000",,"5,000",58%,15-40,50%,100,30%,Fair,$6000 singles,Fair
162,Good,$35 singles,Good,None,None,Ample,Ample,Static,"This is a fairly uniform section, small but decidedly superior to the surrounding areas.","Wm. Coleman, Loan Service Field Representative and Hugh C. Hall, HOLC Fee Property Appraiser.",August 20,7,"Asheville, N.C.",B,5,Rolling,High School in area - All city conveniences - Adequate transportation.,Surrounded by cheap construction - area about 90% developed.,Railroad employees-clerks,1500-3000,None,,None,,None,None,,,,Small singles,Frame & Brick Veneer,10 years ,Good,$4500-8500,30,66%,,4000-8000,"5,000",83%,30-50,35,77%,1925-1926,"6,000",130%,1925-1926,130,$35-60,$45,1933,3500-6500,,"4,500",75%,25-40,90%,100,75%,Good,$5000 singles,Good
163,Good,$40 singles,Good,None,None,Ample,Ample,Static,"This is a small section of uniform construction, much better than the surrounding area.","Wm. Coleman, Loan Service Field Representative and Hugh C. Hall, HOLC Fee Property Appraiser.",August 20,7,"Asheville, N.C.",B,6,Rolling,"All city conveniences - Restricted residential section - adequate transportation close by - not far distant to schools, churches and business center.",Nothing particular.,"Business men - professional men, clerks - railroad men",2000-4000,None,,None,,None,None,,,,Small singles and some apartments,Frame & brick veneer,12 years,Good,"$4500-10,000",40,80%,,4000-7500,"6,000",92%,35-50,40,80%,1925-1926,"6,500",130%,1925-1926,130,$40-65,$50,1933,3500-6500,,"4,500",69%,30-50,90%,100,70%,Good,$6000 singles,Good
164,Good,$45 singles,Good,Small singles,Fair - about 6,Ample,Ample,Static to upward,"Along Heywood Road are several higher priced residences, and in other part of area construction is fairly uniform.","Wm. Coleman, Loan Service Field Representative and Hugh C. Hall, HOLC Fee Property Appraiser.",Aug. 20,7,"Asheville, N.C.",B,7,Rolling,"All city conveniences - Restricted residential sections - Adequate transportation - close to schools, churches and business center.",Some distance to main business section - approach from East not good.,"Executives of Enka Corporation, some business and professional men",2000-7500,None,,None,,None,None,Slowly,,,Small and large singles,Frame & Brick veneer,12 years,Good,"$4500-15,000",45,81%,,"4500-10,000","6,500",86%,35-60,45,81%,1925-1926,"7,500",130%,1925-1926,130,$40-75,$55,1933,"4000-10,000",,"6,000",80%,30-55,65%,100,80%,Good,$6000 singles,Fair
