polygon_id,desc_terrain,favor_influences,detr_influences,pct_improved,desirability,occupation,fam_income,pct_foreign,predom_eth,black,pct_black,infiltration,relief_fam,pop_inc,pop_dec,pop_static,predom_build_pct,other1_pct,other2_pct,predom_build_type,other1_type,other2_type,predom_build_constr,other1_constr,other2_constr,predom_build_age,other1_age,other2_age,predom_build_repair,other1_repair,other2_repair,predom_build_pctocc,other1_pctocc,other2_pctocc,predom_build_pctown,other1_pctown,other2_pctown,predom_build_constrpastyr,other1_constrpastyr,other2_constrpastyr,predom_build_1929price,other1_1929price,other2_1929price,price2,predom_build_price2,predom_build_price2pct,other1_price2,other1_price2pct,other2_price2,other2_price2pct,price3,predom_build_price3,predom_build_price3pct,other1_price3,other1_price3pct,other2_price3,other2_price3pct,predom_build_salesdemandlim,other1_demandlim,other2_demandlim,predom_build_salesact,other1_salesact,other2_salesact,predom_build_1929rent,other1_1929rent,other2_1929rent,rent2,predom_build_rent2,predom_build_rent2pct,other1_rent2,other1_rent2pct,other2_rent2,other2_rent2pct,rent3,predom_build_rent3,predom_build_rent3pct,other1_rent3,other1_rent3pct,other2_rent3,other2_rent3pct,predom_build_rentdemandlim,other1_rentdemandlim,other2_rentdemandlim,predom_build_rentact,other1_rentact,other2_rentact,homebuy,homebuild,notes,name,sec_grade,area_num
1026,"Level, filled in land and bulkhead.",Zoned for residential and highly restricted.,None,18,Up-slowly,"Professional, executives",8000-12000,0,None,None,,None,None,slowly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"These islands are very favorably and desirably located, close to bathing beaches, highly restricted. This is a distinctly desirable area and is set apart from the rest of the community. La Gorce Island has just commenced to show activity the last 2 or 3 years, during which time some very beautiful and desirable homes have been erected. About 40 homes in these islands, ranging from $12,000 to $35,000. Approximately one half of the owners of these properties are winter residents. ","La Gorce and Allison Islands, Miami Beach, Florida",A,6
1028,Flat,"Close to good transportation (bus), community shopping centers, bathing beaches, moderately restricted.",None,25,Up,Professional & Executives,"7,000-10,000",0,None,None,,None,None,slowly,,,95,,,1 & 2 story singles,,,C B S,,,1-8,,,Good,,,100,,,100,,,"10 ($7,000-12,000)",,,--,,,1935,"8,000-15,000",,,,,,1938,"8,000-15,000",,,,,,Fair,,,Fair,,,--,,,,--,,,,,,,--,,,,,,,,,,,,Ample,Ample,,"Miami Beach, Florida",B,10
1029,"Level, filled in land; bulkheading completed around Isle.","Close to bathing beach, adequate bus transportation, community shopping centers.",Distance from Miami. This is a rather outlying development which depends on Miami people to populate it. Distance from schools and churches.,15,Up,"Business, professional & higher bracket clerical",3000-5000,0,None,None,,None,None,moderately,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"This is a boom-time development which remained static for a number of years, but since 1935 it has experienced considerable growth, probably five times as many houses have been built there in the last two years than were built at any time during the entire previous period of development. Approximately 60 houses, some apartments and community stores; price range of houses from $5,000 to $7,500.","Normandy Isle, Miami Beach, Fla.",A,5
1030,Level,"Close to good transportation (bus), community shopping centers, bathing beaches. moderately restricted.","On account of the moderate restrictions, this part of Miami Beach will not be as desirable for expensive estates and high class residential as some of the other sections of the beach.",15,Static,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"This is a very spotted section and buildings that do exist range from attractive villas on the ocean side to 2 story singles, garage apartments, and apartment buildings in the eastern portion.","Area just south of Surfside, Fla.",B,9
1031,Level,"Close to good transportation (bus), community shopping centers, bathing beaches, moderately restricted.","On account of the moderate restrictions, this part of Miami Beach will not be as desirable for expensive estates and high class residential as some of the other sections of the beach.",5,Up-slow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,This is a very sparsely developed section with 2 or 3 groups of attravtive villas and residences on the ocean side of the area.,"Area just north of Surfside, Florida",B,8
1032,Level,"Close to public bathing beaches, community business centers and adequate bus transprtation; zoned for residential, moderately restricted.",Rather low land and the shore line is not bulkhead,15,Up-slowly,Business & professional higher bracket clerical,3500-6000,0,None,None,,None,,Slowly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"This is a new subdivision and contains about 30 houses in the $5000 to $7000 price class, all of which have been constructed in the last three years, majority of which are occupied by home owners.","Surfside, Florida",A,4
106,Rolling.,Good streets and transportation. Convenient to schools and churches. Near business center and industry. Adjoins public park on west boundary.,Slight infiltration of Negro population.  Both sides of Market Street is being taken over by stores.  Very old section of city.  Dirt and noise.  On the down grade.,90,Down,Mill workers and laborers,900-2400,10,Mixed,Yes,5,Undesirable,Heavy,--,--,Yes,90,,,Old type singles (5-6 rs),,,Frame,,,35,,,Fair to poor,,,95,,,55,,,0,,,2500-3500,,,1936,1000-5000,55,,,,,1938,1000-5000,55,,,,,2500,,,Poor,,,20--50,,,1936,10-35,64,,,,,1938,10-35,64,,,,,20,,,Good,,,None,None,"Small sports of negroes settling all through the area thereby threatening the entire district. Better homes ranging around $4000-5000 are located south of west Woodland avenue and west of Hollmen Street. One of oldest residential sections in Youngstown. Trend is downward. Property, if acquired, should be sold rather than held.",,D,6
107,level  and gently rolling,New school in area -- adequate transportation -- all city conveniences -- close to community business center,"None, except Belt Line Railroad track on west.",70,Upward,"Executives, business and professional men.","3,000 - $6,000",No,-,No,-,None,None,Rapidly,,,90,10,,Singles 6-8 rooms,Singles 6-8 rooms,,Frame,Brick,,9,9,,Good,Good,,100,100,,90,90,,25 up to $8000,"5 up to $10,000",,"7500 - $15,000","8000 - $17,000",,1936,"6000 - $12,000",80,"6500 - $15,000",85,,,1938,"6000 - $12,000",80,"6500 - $15,000",85,,,"Up to $10,000 Fair","Up to $12,500 Fair",,Fair,Fair,,75 - $100,75 - $100,,1936,50 - $70,,50 - $70,69,,,1938,50 - $70,,50 - $70,69,,,Up to $70 Good,Up to $70 Good,,Good,Good,,Ample,Ample,"Dick, Marcia, and Emerson are best streets. Area as a whole one of the new subdivisions - of uniform construction with much new building activity recently","Hamilton, Ohio",A,1
108,Rolling to hilly,"Not far distant to principal business section. Good area of large, beautiful homes of wealthier citizens. Has all city conveniences.","No transportation, but type of occupants do not consider this a detrimental influence",50,Static to upward,"Capitalists, business and professional men.","6,000 up",None,-,None,-,None,None,Slowly,,,100,,,Singles 6-12 rooms,,,"Brick, Stucco, Stone and Frame",,,10,,,Good,,,100,,,100,,,"6 up to $50,000",,,"15,000 - $50,000",,,1936,"10,000 - $35,000",69,,,,,1938,"10,000 - $35,000",69,,,,,"20,000 Fair",,,Fair,,,Nothing for,,,1936,rent in this,,,,,,1938,area,,,,,,-,,,-,,,Ample,Ample,"This is an area occupied exclusively by wealthier citizens and those with the higher incomes, containing beautiful homes in well kept grounds. Proximity to schools, churches, and business center not a consideration as area is only about 10 minutes, by automobile, from center of city. Northeastern side of area stops on hill top and ""C"" area joining is at foot of the hill, one of reasons for jump in grade.","Hamilton, Ohio",A,2
109,level  and gently rolling,Adequate transportation -- school in area -- close to community business center.,"Railroad track on west and small industrial plant in north-west corner, but neither has shown as a detrimental influence.",100,Static,"Skilled mechanics, clerical, business and professional men.","2,000 - $5,000",None,-,None,-,None,None,-,-,Yes,50,40,10,Singles 6-10 rooms,Singles 5-6 rooms,Singles 3-4 rooms,Brick and Frame,Frame Bungalow,Frame Cottage,30,20,20,Good,Good,Good,95,100,100,90,90,90,5 - $8000,10 -  $6000,5 to $4500,"6500 - $15,000",5000 - $7500,4000 - $5000,1936,"5000 - $12,000",78,4500 - $6500,88,3500 - $4500,89,1938,"5000 - $12,000",78,4500 - $6500,88,3500 - $4500,89,8000 Fair,6000 Fair,4500 Fair,Fair,Fair,Fair,45 - $75,35 - $60,25 - $35,1936,35 - $60,79,30 - $50,85,20 - $30,83,1938,35 - $60,79,30 - $50,85,20 - $30,83,50 Good,40 Good,25 Good,Good,Good,Good,Ample,Ample,"Main Street contains better large two-story homes. Progress, Ridgelawn, and Sherman contain better bungalows and some larger homes. Area as a whole contains well kept places indicating pride of ownership, but construction is varied.","Hamilton, Ohio",B,1
110,Level and gently rolling.,Adequate transportation -- all city conveniences -- close to community business center.,Railroad through eastern part.,60,Upward,"Clerical, business, and professional men.",1800 - $3500,None,-,None,-,None,None,Slowly,-,-,70,30,,1-story Single 5-6 R.,2-Story 6-8 R.,,Frame,Frame,,15,30,,Good,Good,,100,100,,80,80,,6-$6000,None,,5000 - $6500,5500 - $7500,,1936,4000 - $5500,$82,4500 -$6500,84,,,"1,938",4000 - $5500,82,4500 - $6500,84,,,5000 Good,5000 - Poor,,Fair,Poor,,35 - $50,35 - $50,,1936,30 - $40,83,30 - $40,$83,,,1938,30 - $40,83,30 - $40,83,,,40 Good,40 Good,,Good,Good,,Ample,Ample,"Millville, Harrison, and Millikin best for smaller properties. Franklin and Ross best for larger properties.","Hamilton, Ohio",B,2
111,Rolling,easy access to principal business section. All city conveniences. Close to schools and business center.,"Railroad track in northern part, but apparently does not seriously affect. Properties somewhat old as a whole, but extremely well maintained.",80,Static,"Capitalists, business and professional men.",4000 and up,None,-,None,-,None,None,-,-,Yes,100,,,Large 2-story singles 7-10 rooms,,,Frame and Brick,,,20,,,Good,,,100,,,95,,,None,,,"7500 - $20,000",,,1936,"6500 - $15,000",81,,,,,1938,"6500 - $15,000",81,,,,,Poor,,,Poor,,,Not sufficient,,,1936,volume of rented places,,,,,,"$1,938",to substantiate estimate of range,,,,,,-,,,-,,,Ample,Ample,"This is a small area of large well kept homes, occupied by some of the wealthier citizens, and while it is not a recent development type of property and citizenship such as to keep it desirable for many years.","Hamilton, Ohio",B,3
112,Level.,"Adequate transportation -- schools, churches, and community business center in area. All city conveniences except extreme southern end.",Southern end lacks city sewerage and water.,85,Static to upward.,"Clerical, business, and professional; skilled mechanics.",1500 - $5000,None,-,None,-,None,None,Slowly,-,-,80,10,10,1 St. Single 5-6 R.,2-St. Single 6-8 R.,Cottage Singles 5 R.,Frame,Frame and Brick,Frame,15,25,25,Good,Good,Fair,99,99,99,70,80,80,15 - $6000,None,None,5000 - $7000,"7000 - $12,500",4000 - $6000,1936,3500 - $6000,78,"6000 - $10,000",83,3500 - $5500,89,1938,3500 - $6000,78,"6000 - $10,000",83,3500 - $5500,89,5000 Fair,Poor,Poor,Fair,Poor,Poor,35 - $50,50 - $70,30 - $45,1936,30 - $40,83,40 - $60,83,25 - $40,86,1938,30 - $40,83,40 - $60,83,25 - $40,86,40 Good,50 Fair,40 Fair,Good when there is vacancy.,Fair,Fair,Ample,Ample,"Pleasant Avenue south of Laurel contains most of the larger higher prices houses. Extreme western side (west of Freeman) not as good as remainder of area -- northern part is older part. Most recent new building has been east of Pleasant Avenue of Tiffen, Chase, and Corwin, and Brough. Extreme southern part will increase in desirability when utilities are added.","Hamilton, Ohio",B,4
113,Level,Area adjoins new school and has community business center in it. Adequate transportation.,Area lacking in public utilities in some parts. Two railroad tracks running through it. Jerry built section west of Lawson and north of Railroad. Abandoned factory at junction of railroad tracks turned into warehouse.,40,"Western part static; eastern part static to upward, probably.","Clerical, mechanics, laborers in Champion Paper Company.",900 - $2000,None,-,None,-,None,Few,-,-,Yes,70,30,,Small single 4-5 R.,Jerry built 3-4 R.,,Frame,Frame,,12,10,,Fair,Poor,,95,95,,60,70,,5 - $4000,None,,3000 - $5000,1500 - $2500,,1936,2000 - $4000,73,1000 - $2000,73,,,1938,2000 - $4000,73,1000 - $2000,73,,,Poor,Poor,,Poor,Poor,,20 - $30,15 - $20,,1936,15 - $25,79,10 - $15,71,,,1938,15 - $25,79,10 - $15,71,,,20 Fair,15 Fair,,Fair,Fair,,Limited,Limited,"Part of area south of railroad and east of Lawson Street is best. West of Lawson and north of railroad contains mostly Jerry built houses, not well maintained. Recent construction of school just north of area had helped.","Hamilton, Ohio",C,1
114,Level,"Adequate transportation; school and churches in area, also community business center.",Industrial plants on east.,60,Static,"Clerical, mechanics, laborers.",1000 - $2500,None,-,None,-,None,Few,-,-,Yes,100,,,Single 4-7 Rooms,,,Frame,,,25,,,Fair,,,95,,,50,,,None,,,3500 - $5000,,,1936,2000 - $4000,69,,,,,1938,2000 - $4000,69,,,,,Poor,,,Poor,,,20 - $35,,,1936,15 - $25,73,,,,,1938,15 - $25,73,,,,,25 Good,,,Good,,,Limited,Limited,"An area of fairly uniform small cottage and bungalow type houses -- somewhat old, and about an average of this neighborhood type.","Hamilton, Ohio",C,10
115,Level.,Adequate transportation; all city conveniences; churches and stores in area; close to school.,Industrial plants in area; railroad through east side.,70,Static,"Factory workers, laborers, and clerical.",800 - $2500,None,-,None,-,None,Few,-,-,Yes,70,30,,Single Bungalow 4-5 R.,Single Cottage 4-5 R.,,Frame,Frame,,20,25,,Fair,Fair,,95,95,,65,65,,6 - $5000,None,,4500 - $6000,3000 - $4500,,1936,3000 - $5000,75,2500 - $4000,86,,,1938,3000 - $5000,75,2500 - $4000,86,,,4000 Fair,Poor,,Fair,Poor,,25 - $40,20 - $35,,1936,20 - $30,78,15 - $25,73,,,1938,20 - $30,78,15 - $25,73,,,30 Good,25 Good,,Good,Good,,Limited,Limited,Western part of area west of Pleasant Avenue and east of Pleasant Avenue south of Symmes Avenue is better part of area. East of railroad not so good.,"Hamilton, Ohio",C,11
116,Level,Adequate transportation -- no schools or churches or stores in area but not too far distant.,Lack of public utilities and city sewerage.,40,Static,Clerical and mechanics,1000 - $2000,None,-,None,-,None,None,-,-,Yes,100,,,1 St. Single 4-5 R.,,,Frame,,,15,,,Fair,,,95,,,60,,,3 - $4000,,,4000 - $5000,,,1936,3000 - $4000,88,,,,,1938,3000 - $4000,88,,,,,4000 Fair,,,Fair,,,25 - $35,,,1936,20 - $30,83,,,,,1938,20 - $30,83,,,,,30 Good,,,Good,,,Limited,Limited,A small area of fairly uniform homes surrounded on three sides by higher priced developments.,"Hamilton, Ohio",C,12
117,Level to rolling.,All city conveniences in part of area -- adequate transportation -- not far from business center -- close to school.,"Railroad track and creek through northern part -- large paper mill joins -- southern part very old. Up to ""C"" Street in Conservancy Tax District.",$80,Static to downward.,"Clerical, business men and laborers working for Champion Paper Company.",900 - $2000,None,,None,,None,Few,-,-,Yes,70,20,10,1 St. Single 4-5 R.,Large 2 St. 7-10 R.,Small Cottage 4-5 R.,Frame,Frame and Brick,Frame,12,30,15,Fair,Fair,Fair,90,95,95,50,80,80,6 - $4000,None,None,4000 - $5000,"6000 - $10,000",2500 - $3500,1936,3000 - $4000,78,"5000 - 8,000",82,2000 - $3000,83,1938,3000 - $4000,78,"5000 - 8,000",82,2000 - $3000,83,4000 Fair,None,None,Fair,None,None,20 - $30,35 - $50,15 - $20,"1,936",15 - $25,79,30 - $40,83,10 - $15,71,"1,938",15 - $25,79,30 - $40,83,10 - $15,71,25 Good,35 Good,15 Good,Good,Good,Good,Limited,Limited,"Champion Paper Company owns quite a bit of property in northern part of area. Larger old houses located on Park, North C, and North D. Brick apartments at Park and North B. Park, North C, and North D better streets.","Hamilton, Ohio",C,2
118,Level to rolling.,School in area -- close to business section --adequate transportation. All but southwestern part has all public utilities.,"Part from river to South ""C"" Street in Conservancy Tax District. Railroad track through area. Packing Plant in eastern part. Coal yard in area.",70,Static,"Clerical, business mechanics, and laborers.",900 - $3000,None,-,None,-,"Lower grade slightly on South ""B"" Street.",Few,-,-,Yes,50,40,10,2 St. Singles 6-8 R.,1 St. Bungalow 4-5 R.,Singles 6-8 R.,Frame and Brick,Frame,Frame and Brick,303,12,40,Fair,Fair -- Good,Poor,$95,95,95,90,80,60,None,5 - $5000,None,4000 - $8000,4000 - $5000,4000 - $6500,1936,3500 - $6000,82,3000 - $4500,83,3000 - $5500,80,1938,3500 - $6000,82,3000 - $4500,83,3000 - $5500,80,None,4500 Fair,None,None,Fair,None,25 - $45,25 - $35,25 - $35,1936,20 - $40,84,20 - $30,83,20 - $30,83,1938,20 - $40,84,20 - $30,83,20 - $30,83,40 Good,30 Good,30 Good,Good,Good,Good,Ample,Ample,"part of area nearest to river is worst part, houses obsolete, poorly maintained, and occupied by lower grade of population. Ross and Franklin west of ""C"" Street are good with 2-story well kept places as a rule. Recent new construction has been on Coralie and Bessie Streets south of Railroad Track, but this part of area does not have all utilities. South part of area runs into a hillside on the top of which is Water Works Road and this is one reason for the jump in grade.","Hamilton, Ohio",C,3
119,Level,All city conveniences -- adequate transportation.,"About 7 blocks from schools, churches, and business center. Surrounded by industrial plants. In Conservancy Tax District.",90,Static,"Laborers, shop mechanics",800 - $1200,None,-,None,-,None,Few,-,-,Yes,100,,,Singles 4-7 R.,,,Frame,,,25,,,Fair,,,95,,,85,,,None,,,3500 - $4500,,,"1,936",2500 - $3500,80,,,,,1938,2500 - $3500,80,,,,,None,,,None,,,20 - $30,,,1936,15 - $25,79,,,,,1938,15 - $25,79,,,,,25 Good,,,Good,,,Very limited,Very limited,"A small area of obsolete houses, with the river on one side and industrial plants on the other sides. Plants, however, have a tendency to keep rental demand good.","Hamilton, Ohio",C,4
