polygon_id,name,not_on_form,pop_inc,pop_dec,pop_static,class_occ,pct_foreign,nationalities,pct_black,infiltration,predom_build_pct,other1_pct,predom_build_type,other1_type,predom_build_constr,other1_constr,predom_build_age,other1_age,predom_build_repair,other1_repair,predom_build_occ,other1_occ,predom_build_ownocc,other1_ownocc,predom_build_1935price,other1_1935price,predom_build_1937price,predom_build_1937pctchange,other1_1937price,other1_1937pricepctchange,price3_yr,predom_build_price3,predom_build_price3pctchange,other1_price3,other1_price3pctchange,predom_build_demand,other1_demand,predom_build_pricetrend,other1_pricetrend,predom_build_1935rent,other1_1935rent,predom_build_1937rent,predom_build_1937rentpctchange,other1_1937rent,other1_1937rentpctchange,rent3,predom_build_rent3,predom_build_rent3pctchange,other1_rent3,other1_rent3pctchange,predom_build_rentdemand,other1_rentdemand,predom_build_renttrend,other1_renttrend,newconstr_amt,newconstr_type,newconstr_perform,holc_overhang,inst_overhang,sales_yr,holc_sales,inst_sales,mortgagefunds,no193,taxper1000,desc_terrain,location,sec_grade,area_num,date
5247,"Syracuse, N.Y.",,,,Yes,Office help and factory workers and laborers,15,Italian and Polish,No,Same,85,15,Frame singles,2-family,Frame,Frame,20 - 45 Years,30 Years,Poor to fair,Poor,95%,95%,50%,50%,"1,650 - 5,000",,"2,000 - 4,000",-10,-,,1940,"2,000 - 4,000",-0-,"3,500 - 5,000",,"Fair up to $3,500",Fair,Down,Static,15 -30,,20 - 35,22,,,1940,20 - 35,0,25 - 35,-,Fair up to $30,Fair to 35,Static,Static,0,0,0,3,(est) 40,1,4,-,Ltn none,41,38.65,"A steadily declining area of old and obsolete houses now experiencing periencing encroachment of business and industry. Ground is slightly rolling and about 95% developed. Houses are in medium to poor condition and of heterogeneous appearance. Population is mixed foreign. An excellent high school is nearby and all other facilities are convenient including employment centers. Typical Sales: |Address| Type Property| Sales Price & Terms| Remarks| (\n) |406 Erie Street| 1 ½ sty-1-family| $2,700(as is)| HOLC-10% down| (Polish buyer)| (\n) | 109 Kincaid ‘| 1-family| 2,500| HOLC-10% down| (Polish buyer)| (\n)","Tipperary Hill SEction, Syracuse, N.Y.",3rd,C-5,Dec'40
5248,"Syracuse, N.Y.",,,,Yes,"Factory workers, machinists, skilled labor",15,Italians and Polish,0,Same,85,15,Singles,Doubles,Frame,Frame,12-43,30,Poor- Fair,Poor- Fair,95%,98%,80%,50%,"2,000-4,000",,"2,000-4,000",0,,,1940,"2,500-4,000",8,"2,500-4,000",,Poor,Poor,Down,Down,15-30,,17.50-30,5,,,,20-30,5,22-32,,Fair,Fair,Static,Static,0,0,0,0,0,,0,,Ltd.,41,53.39,About 85% improved - a very small area - no pride of ownership - sameness of design. Borders on the shack type - many lower portions of home converted into saloons within walking distances of work - poor construction lacking any style - no restrictions - all public utilities - smple and odors detrimental - a very poor old area - transporation all right slight rolling ground - some encroachment of business and industry - a low grade C. On Charles Street there is considerable vacant land on both sides. On the west the land sharply rises into steep hills.,"Charles Ave. Sec. Solvay, N.Y.",3rd,C-17,Dec. 40'
5249,"Syracuse, N.Y.",,,,yes,Skilled mechanics and office help,0,0,0,None,100,,Single,,Frame,,Up to 18 years,,Good,,98%,,90%,,"3,500 - 6,000",,"3,500 - 6,000",-0-,,,1940,"3,500 - 6,000",-0-,,,Poor,,Static,,34 - 45,,37.50 - 50,9,,,1940,40.00 prevailing very few for rent.,,,,Good up to $40,,Static,,0,0,0,1,0,,0,-,Ample Life Ins. 5%,41,30.37,"Poor transportation - rolling low land - sparsely settled - adjacent to Westcott Reservoir - inactive sales section - an area that is not progressing - very small - fairly convenient to schools, churches, and parks. Homes are of moderate size, pride of ownership fair. Construction is good.","Westcott Reservoir Section, Syracuse, N.Y.",2nd,B-5,Dec.'40
5531,Greater Kansas City,,Slowly,,,Business and professional,0%,,0%,Business and professional,100%,,Singles,,"Brick, few frame",,1-15 years,,Good,,100%,,100%,,"$4000-25,000",,$4500-25000,Up 10%,,,Current,$4500-25000,,,,,,Static,,,,,,,,,,,,,No houses for rent,,No houses for rent,,2,Singles $5500,For owner,None,None,2,None,None,Ample,,,"Goodman Heights, another spotty suburban development in the rolling hills nine and one-half miles from the ehart of Kansas City. This is built up about 20% to 25% with large and well-built houses bordering on country-estate types. There are a few old frames in the area. Shawnoo Mission High School, across Highway 50 is a big advantage to the area. It has all utilities except sewer. The area ""got a good start"" under restrictions and has continued one of good homes. ","Mission Township Johnson County, Kansas",Second,B-5,3-1-39
5532,Greater Kansas City,,,,Yes,"Wage earners, some executives",0%,,0%,Above ,100%,,Singles,,Frame and brick,,10 years,,Fair,,,,,,$1500-4500,,$1500-4500,,,,Current,$1500-4500,,,,Up to $3750,,Static,,,,,,,,,,,,,None for rent,,""" """,,0,,,None,,2,None,,Ample,,,"Cunningham Highlands, built up about 15%, contains small cheap houses and some large, well-built structures scattered throughout the rolling hills of the neighborhood. It is doubtful that this area will build up in the near future. ","Mission Township Johnson County, Kan ",Third,C-18,2-1-39
5533,Greater Kansas City,,,,Yes,Wage earners,50,Belgians,0,Above,100,,Singles 3-7 rms,,Stone & frame,,20 years,,Fair,,95%,,65%,,$1500-3500,,$1500-3500,,,,Current,$1500-3500,,,,Up to $1500,,Static,,$10-20,,$10-20,,,,Current,$10-20,,,,None,,Static to down,,8,Single 5 rms $3500,Fair,None,"$2,300",2,None,,Limited -None,8,$40.50 HOLC LOANS - 2 as of 4-1-39,"Crestline, a small but rather well developed suburban area, located on reasonably high ground affording a good view in all directions. The area has all utilities except sewers. There is a school at the north end, but transportation facitilities are poor. Built up with a fair grade of one-story frame houses on lots large enough for gardens. The area has attracted wage earners entirely. The area enjoyed a 5% appreciation in sales values between 1935 and 1937, static since.","Kansas City, Kansas",Third,C-15,2-1-39
5534,Greater Kansa City,,,,Yes,"Gardeners, common laborers",50%,Belgians,10%,Above classes,100%,,Singles 4-7 rms,,Stone and frame,,30 years,,Fair,,90%,,75%,,$1000-1500,,$1000-1500,,,,Current,$1000-1500,,,,None,,Down,,$10-15 ,,$10-15,,,,Current,$10-15,,,,None,,Down,,0,,,None,None,2,None,None,Limited,1938,$40.50,"This area is a suburban sparsely settled section, lying in the typically rough and hilly territory of the neighborhood. Houses are of rather cheap variety housing small truck gardeners and chicken farmers. The area has electric lights only. Transportation facilities are poor. There is a school a few blocks to the north. Negores are scattered throughout the neighborhood. There is virtually no demand for property in the area. Like most of southern Kansas City, there has been little fluctuation in sales values the last few years. ","Kansas City, Kansas",Fourth,D-15,2-1-39
5535,Greater Kansas City,,,,Yes,"Wage earners, few business men and professional",,,,Above classes,100,,Singles,,Frame - few stone,,25 years,,Fair,,90%,,70%,,$1500-3500,,$1500-3500,,,,Current,$1500-3500,,,,Poor,,Static to down,,,,,,,,,,,,,Not a rent area,,Static,,5,Singles 5-6 rms $3000-3500,Fair,None,,2,1 for $1800,,Limited,8,$40.50 HOLC LOANS - 1 as of 4-1-39,"This is Brewster Farms, a good suburban section occupied by wage earners, which has witnessed some new building during the last 12 months. It is near Southwest Boulevard, principal artery into Kansas City, Missouri, but public utility transportation is poor. The area has water and electricity. A school is located on Shawnee Road some distance to the north, and a parochial school on Antoine Rd. nearby. The area was begun about 20 years ago but encountered trouble in development and did not meet expectations. A good location which has possibilities of booming a popular suburban area.","Kansas City, Kansas",Third,C-16,2-1-39
5536,Greater Kansas City,,yes,,,"Minor executives, clerks",,,,Above classes,100,,Singles 5-7 rms,,Frame & brick,,All now,,good,,See below,,"""  """,,,,,,,,Current,4500-7200,,,,See Item 8 ,,"All new houses, should continue static",,,,,,,,,,,,,,,All owner-occupied,,65,4500-7200,Slow - only under pressure,See below,None,2,None,,Ample (FHA),8,See below,"Rooland, opened a year ago by the Charles E. Vawter Investment Company. Forty-six houses had been built in the fall of 1938, financed on a blanket FHA loan (under Section 210) with the release clause. At the end of January 1939, 22 of the 46 houses had been sold. They are a variety of brick, stone and frame bungalows, 1 1/2 and 2-story structures selling from $4500 to $7200, the big majority at about $6000. It is a ""high pressure area"" as to sales promotion situated in a rural neighborhood, surrounded by farms, with a cheaper resdiential section adjoining on the west. Sales are made to wage carners, minor executives and small business men, some of whome borrow on life insurance policies to make the 10% down payment. Some houses are offered at no down payment, but amortized at larger monthly payments until the equivalent of a 10% down payment accrues. It is graded ""A"" because it is now, restricted, not entirely built up. The construction is not as substantial as that in other newer sections, including Country Club. The area has all utilities except sewers. Public utility transportation is inadequate. School children are trasnported by bus to nearby schools. Shawnee Mission High School is to the southwest about two miles. Taxes will run from $40 to $55 a year on the various properties. Application was made in January for another blanket loan to finance 34 houses of teh same type and size to be built in 1939. Some lenders, including Prudential, will lend here only because of the insured mortgage feature.","Mission Township, Johnson County, Kan.",First,A-4,2-1-39
5537,Greater Kansas City,,Yes,,,"Wage earners, teachers, small business and professional",0,,0,Above groups,100,,Singles 4-7 rms,,"Frame 80%, brick & stucco 20%",,New to 12 years,,Good,,99%,,85%,,1800-4250,,2000-4500,Up 10%,,,Current,2000-4500,,,,Up to $3750 Fair,,Static,,15-50,,15-55,Up 10%,,,Current,15-55,,,,Up to $35 Good,,Strong,,15,Singles $3800-6500,Good,1 - $4800,Very few,2,None,,Ample,,HOLC LOANS - 1 as of 4-1-40,"Mission Hill Acres, a suburban development begun in 1927 with a wide range of styles and types of houses including bungalows, small frame cottages and 1 1/2 and 2 story structures. Most of the larger houses are new and substantially built. The ground is on small rolling hills. The area has a thriving business district along High 50, all utilities except sewer and schools not far distant including the Shawnee Mission High School to the west. It is built up about 60%, with much building activity at present. Immediately south of 61st St. is ""Countryside"", a recently platted subdivision with six new houses in April 1839 of the larger and better type. This subdivision if it develops will undoubtedly be much better and more exclusive than Mission Hill Acres. The latter is a very spotted section with its wide range in variety and types of houses. The growth of this subdivision has been sufficient to warrant the establishment of a Post Office there, which was authorized in April 1939. While a good many FHA loans have been made in the area there are loans which are not FHA but made by the building and loan associations in Kansas City, Kansas and other points in Kansas, as well as the Federal savings and loan associations of Kansas City, Missouri. The Home Building & Loan Association of Ottowa, Kansas is quite active in this area. Building and loan association loans other than FHA are usually made up to 75% of the market value.","Mission Township Johnson County, Kan",Second,B-6,2-1-39
5538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Includes Mission Ridge, Sunerest park and Santa Fo Manor subdivisions. A typical rural area with a scattered, wide variety of types of houses. Nearly all are cottages or bungalows, with a number of cheap frames. The area is occupied by a number of trunk gardeners and farmers on a small scale. These subdivisions were poorly begun and will be nothing but rather cheap areas. Six or eight small now frame houses have been built during the last year. The security ranges in price from about $2000 to $3500.","Johnson County, Kan.",Third,C-19,4-5-39
5539,Greater Kansas City,,Slowly,,,"Business, professional, wage earners",0,,0,Above,100,,Singles 5-9 rms,,Frame and brick,,1-15 years,,Good,,99%,,95%,,2500-7500,,2500-7500,,,,Current,2500-7500,,,,Poor,,Static,,,,,,,,,,,,,Only a few available,,,,2,Singles $5000,,3 Cap $19420     App $18050,-,2,None,,Ample,,HOLC LOANS - 5 as of 4-1-39,"Tower Grove, the northwest part of this area, is a rather substantial rural development with houses on large lots, mostly acre tracts. The Tower Grove part of the area is built up about 30% with 2-story brick houses, some of the country-estate type and small cottages, and some bungalow. The ground is reasonably level. Southmoor, which lies east of Highway 69. is built up about 10% to 15%. It is a spotted section, most of the houses two stories, bricks and frames. North of 67th Street and east of Highway 69 are two blocks of good 2-story brick and frame houses worthy of ""A"" grade were the district larger. Milburn Gardens, that portion of the area south of 67th Street and west of Metealf, is a very spotted neighborhood with a number of new houses, many older and cheaper ones. As a whole, the area is one of wide variety of structure. A typical suburban subdivision which is undoubtedly attracting some of the better paid Kansas City people.","Mission Township Johnson County, Kan.",Second,B-9,3-1-39
5540,Greater Kansas City,,Slowly,,,"Wage earners, clerical, fewer farmers",,Very few ,0%,Salaried persons working in Kansas City,100%,,Singles ,,"Frame 80%, Brick and stucco 20%",,15-25 years,,Fair,,98%,,80%,,$3000-6000,,$3000-6000,0%,Current,$3000-6000,0%,,,,,Up to $4000,,Uncertain,,,,,,,,,,,,,,,Not a rent area: Too far out ,,12,$4000-6000,Good,"Cap $17,300; App $16,500",,2,,,Ample,1938,$28.90 ; Holc Loans- 21 as of 4-1-39,"Overland is a rural community with about 2500 population, ten miles from Kansas City, occupied largely by wage-earners from Kansas City plants and business institutions. The town has gradually built up during the last 30 years. It is a rather attractive rural community with most of the houses, particularly the newer ones, well kept. The outer fringe of the comunity on all sides stretches into farm land. The town has a wide variety of types of construction, all singles with one-story houses predominating to about 75%. About one-dozen houses built during the last twelve months, (financed on FHA plan) have sold readily. There is very little demand and activity for other houses selling for more than $4000. The community has good schools, utilities, as well as electric interurban transportation to Kansas City. there is also a rather active business center adequately serving the community. ",Overland Johnson County,Third,C-21,2-1-39
5541,Greater Kansas City,,Slowly,,,"Clerks, wage earners, small business",0,,0,Above,100,,Singles (bungalows),,"80% frame, balance stucco",,New to 15 years,,Good,,98%,,75-80%,,3800-4500,,3800-4500,,,,Current,3500-4000,-10,,,Up to $3750 Fair,,Static,,25-30,,25-30,0,,,Current,25-30,0,,,25-30,,Not a rental district,,5,5 rms $4500,Fair,None,Few if any,2,None,,Ample,8,26.3,"Mission Highlands, a developement begun by Mission Hill Investment Co., 10 years ago, designed to house an ""average"" class of people. It is a bungalow area, houses uniform in size but many have no basements. The developer is advertising new houses for $3750 to $6500. The area is about 50% built up on reasonably level to slightly rolling ground. All streets are oiled. The area is served with gas, water and lights. Public transportation is inadequate and the long distance from stores is another handicap. School children are transported by bus. This area is occupied by a moderate income group of wage earners and clerks who work in Kansas City. Construction of 7 houses in the $4000-5000 class was begun in April 1939. Tge area gas been sluggish as to demand for 3 to 4 years.",Mission Township Johnson County,Second,B-7,2-1-39
5542,Greater Kansas City,,Slowly,,,"Executive, professional, business",0,,0,Above classes,100,,Singles 1 1/2 & 2 story,,frame and brick,,1-15 years,,Good,,100%,,98%,,"10,000-28,000",,"9,500-27,000",-5,,,Current,"8,800-25,000",-10,,,Poor,,Static,,,,,,,,,,,,,,,Only one house rented,,6,"Singles $10,000",For owner,None,,2,None,,,8,26.30 HOLC LOANS - 1 as of 4-1-39,"Fieldston, another J.C. Nichols development, begun about fifteen years ago built up between 52nd and 55th Streets with large houses, mostly frame, several brick. Lots are advertised at $20 per foot. Houses herin are larger in size than those of A-1 and A-2 and attract a h igher income group. That portion of the area south of 55th Street, sparsely built up, is a most attractive wooded neigborhood attractively landscaped and intended for large country estates. There are probably 15 to 20 houses built therin, all 2 or 2 1/2 story houses. That includes Bryant-wood. The area is restricted and has all utilities. Demand for property in this area has been slow, this being another high priced area.","Mission Township Johnson County, Kan.",First,A-3,2-1-39
5543,Greater Kansas City,,Yes,,,"Business, professional",,,,Above classes,100,,Singles,,Frame and brick,,All new,,Good,,100% (except those held for sales),,All those sold,,,,,,,,Current,5500-8000,,,,Good,,Static,,,,,,,,,,,,,No rent houses in area,,,,87,See Item 8,Good,None,0,2,See below,,Ample,8,See below,"This is Fairway, a J.C. Nichols subdivision, begun in April 1938. In April 1939, 87 houses had been built and 15 were under construction, or contracted for. Several Kansas City builders were operating in the area. Construction runs from 5-room bungalows to 8-room houses, selling at from $5500 to $8000, vacant lots advertised at $20 per front foot. About 75% are frame houses attractively prainte dwhite, the balance a mixture of brick, brick and stone, and a few stucco. This area is restricted, served by a community sewer and all other utilities. Children are trasnported by bus to a school a mile to teh northwest. Nearby golf clubs are an attraction; also the suburban atmostpher, freedom from smoke and low taxes. Nearly all of teh hosues have been financed on FHA plans. The annual tax averages $55 per year. An area with more ""tone"" than A-1, A-4, or A-7, other new developments in Johnson county. Persons with a $175-225 monthly income are buying in this area. ","Mission Township Johnson County, Kan.",First,A-2,2-1-39
5544,Greater Kansas City,,Yes,,,"Minor business, professional, salaried people",,,,Above groups,100,,Singles,,Frame and brick,,1-3 yrs.,,Good,,100% of sold houses,,All except unsold houses,,,,,,,,Current,5300-8000,,,,Fair,,Static,,,,,,,,,,,,,No rent houses,,,,20,$5500-7500,Fair,None,None,2,None,None,Ample (FHA),8,26.30,"An area begun shortly after the advent of FHA, wherein several builders have erected houses selling at $5500 to $8000 with a few at $10,000 in the Swatzell Addition on 50th Street between Belinder and Hudson. About 80% of the hosues are frames attractively painted white, 20% brick. The ground is slightly rolling. The area has all utilities including a community sewer. Chas. E. Vawter Investment Company has made application for a FHA loan to finance 30 new houses in the Swatzell addition. The area has attracted moderate income people, some business and professional, from Kansas City, Missouri and Kansas City, Kansas. Virtually all the houses have been FHA financed. It is something of a hgih-pressure area as to sales. Public utility transportation is only fair. School children are transported by bus, although the Shawnee Mission School is almsot within walking distance. ","Mission Township Johnson County Kansas City, Kansas",First,A-1,2-1-39
5545,Greater Kansas City,,,,Yes,"Business, executive, professional",0,,0,Above,100,,Singles 6-8 rms,,Brick and frame,,10-20 years,,Good,,97%,,85%,,5000-10000,,4500-9000,-10,,,Current,4000-7500,-10,,,Poor,,Static to down,,,,,,,,Current,35-55,,,,"Not a rent area, only few available",,Static,,6,Singles $5800-8000,For owner,None,Few if any,2,None,,Ample,8,$26.30 HOLC LOANS - 4 as of 4-1-39,"Westwood Hills, a J. C. Nichols development opened in 1923, which had built up 80% ten years ago. Houses are well built with much attention to architecture and position on the lots. It is an attractive neighborhood in rolling hills in style and quality quite similar to Westwood Park (B-11) adjoining on the Missouri side. It was something of a medium priced Country Club development. Adjoining the Kansas-Missouri state line, it has all the advantages of the Missouri metropolis, including all utilities, adequate transportation and school facilities, together with the suburban atmosphere of Johnson County and lower taxes. A very good second-grade section given a second grade because of its age, the fact that its houses do not have modern conveniences and the general reason that the district has reached its peak.",Mission Township Johnson County,Second,B-8,2-1-39
5546,Greater Kansas City,,,,Yes,Business & professional,,,,None,100%,,Singles: Bungalows 5-7 rms.,,"Frame, brick & stucco",,20 years,,Fair,,97%,,85%,,$5000-7000,,$4000-6000,-20%,,,Current,$4000-6000,,,,"$4,000",Fair,Static,,$40-55,,$40-50,,,,Current,$40-50,,,,$45,Good,Static to down,,0,,,None,"10; $77,900",2,"2; $12,150",,Ample,1938,$37.70 Holc Loans- 11 as of 4/1/39,"This is Westwood Park, one of the J.C. Nichols Country Club developments begun immediately after the World War. It has a substantial class of houses, intended for something of the middle-class business and professional people. The center of the area is on a hill running north and south, attractively laid out and well kept. It has all the conveniences of adequate transportation, close to the Plaza business district, the golf clubs of Johnson County, Kansas and other influences of being in the Country Club District. The fashionable County Day School is at the south edge. A good second-grade area.","Kansas City, MO",2,B-11,2/1/39
5547,Greater Kansas City ,,,,Yes,"Business, professional, retired",0%,,0%,"Business, professional of smaller income ",100%,,Singles 2-story 6-14 rms,,"Brick, stone, frame",,1-16 years,,Good,,99%,,75%,,"$8000-37,500",,"$7500-35,000",-10%,,,Current,"$7250-35,000",-15%,,,Slow,,Static to down,,,,,,,,Current,$65-175,,,,,,Only few for rent,,5,"Up to $15,000",For owner ,"Cap V $46,000, App $38,700",29; $286600,2,"2 for $19,000",Few,Amle,8,$37.70,"This area embraces the best of the far-flung, nationally-known J.C. Nichols exclusive subdivisions. The northern portion to Westover Road is Sunset Hill. Between 75th and Mayer is Hampstead Gardens and between Meyer and 68th is Meyer Circle. Except for the northern portion the terrain is reasonable level between Wornall and Ward Parkway. Near the Kansas State Line the large mansions are artistically located in rolling hills. Mission Hills on the Kansas side is a continuation of this area as to type, style and quality of the home therein. Some of the wealthiest Kansas Citians live in this area. An encroachment of their gambling operations have adversely affected value during the last four years. The large homes in this area, some of which cost between $100,000 and $200,000, have dropped at least 60% in value since 1929, while the general run of houses costing between $25,000 and $60,000 suffered a 50% shrinkage. A large number of the mansions are on the market at low prices. Despite the fact that the area was begun eighteen years ago and is in some respects is declining, it continues to be the ""gold coast"" of Kansas City and with adjoining Mission Hills is one of the outstanding exclusive residential subdivisions of the United States. Although taxes on some of the large houses are high, this area like other parts of Contry Club does not bear a fair proportion of the tax buren in relation to other parts of the city.","Kansas City, MO",First,A-8,4-15-39
5548,Greater Kansas City,,,,yes,"Business, professional, high-salaried executives",,,,Above,100,,Singles 7-12 roms,,"Brick, few frame, stone",,5-18 years,,Good,,99%,,96%,,"10,000-50,000",,"8,000-28,000",,,,Current,"7,500-25,000",,,,Poor,,Static to down,,,,,,,,Current,75-150,,,,Only few available,,Will not be rent area,,5,"$10,000 Singles",For owners,,,2,,,Ample,8,26.3,"Mission Hills, one of the country's most attractive subdivisions. Highly restricted, it was built up of large homes distinctive in architecture, original costs ranging from $25,000 to $150,000. It was begun twenty years ago and began at once to attract (together with that party of Mission Hills lying in Kansas City, Missouri) the leading business and professional men of the city, drawn from older exclusive sections such as C-24, C-28, and C-30. Teh area lies in rolling hills, has charm, tone and appeal. Much attention is paid to landscaping the area as well as the position of the houses upon large lots. On the northwest the area is protected entirely by golf clubs and on the south by Indian Hills and a vacant tract destined to build up with a fine group of homes. Mission Hills has suffered a shrinkage in values typical of all high priced neighborhoods. The current level is about 40% of 1929, sales demand and activity poor. Although the area has passed its peak, because of its exclusiveness and teh fact that lenders will lend the maximum it is graded ""A"".","Mission Hills Johnson County, Kan.",First,A-5,2-1-39
5549,Greater Kansas City,,,,yes,"Executives, professional",,,,Same,100,,Singles 7-10 rms,,Frame almost entirely,,Not over 12 years,,Good,,99%,,95%,,7500-9500,,7000-9000,-5,,,Current,6500-8500,-10,,,Poor,,Static to down,,,,,,,,,,,,,Not a rent area,,,,4,"Singles 12,500-15,000",For owner,None,Very few,2,None,,Ample,8,26.3,"Indian Hills, another J.C. Nichols exclusive development, begun twelve years ago. Its growth was checked by the depression beginning in 1930. Only about 15% built up, its houses are uniform in size and character, mostly all attractive frame structures, 7 to 10 rooms. The original costs ran from 12,000 to 20,000, and while consdiered an exclusive district the general run of houses was far less expensive than these adjoining Mission Hills. One handicap to the area is its distance from shopping centers. Like other similar sections it has suffered rather severe shrinkage in values during the last several years. Demand and sales activity are very poor.","Mission Township Johnson County, Kan.",First,A-6,2-1-39
5550,Greater Kansas City,,,,Yes,"Executive, business, and professional",0%,,0%,"Upper middle-class, business and professional",100%,,Singles 2-story,,"Frame, brick, stucco",,12 years,,Good,,96%,,70%,,$7500-17500,,"$7000-16,000",-10%,,,Current,"$6500-15,000",-10%,,,"Up to $10,000",Slow,Static to down,,$65-100,,$70-110,Up to 10%,,,Current,$65-100,-10%,,,Up to $80,,Static,,3,Singles $7500,For owner,1 App. $8000,"7; $73,100",2,Holc 1 $8000,,Ample,1938,$37.70,"This is the southern part of Romanelli Gardens, another exclusive J.C. Nichols subdivision which built up about fifteen years ago, has attained its peak. This area is restricted against bungalows (adjoining B-15 is a bungalow neighborhood). Construction is about 50% frame, the balance divided between brick and stucco. The latter type is now beginning to become weather-beaten and somewat unsightly. As in other Nichols areas, there are no community business centers although there are several along Gregory Boulevard. The area is quite a distance removed from downtown but public utility transportation is adequate. It has every other convenience and facility. Artistically laid out, it is still a very attractive neighborhood. The more expensive homes in the area have suffered a sharp drop in values during the last few years. ""For Sale"" signs are scattered throughout the district. A Jewish infiltration has injured the area from a standpoint of values. As a whole a very good second-grade area. ","Kansas City, MO",2,B-16,2/1/39
5551,Greater Kansas City,,yes,,,"Business, Professional, Executive",0%,,0%,"Business, professional, minor executives",100%,,"Singles, 2-story ",,"Brick, few frame",,New to 15 years,,Good,,29%,,85%,,"$7500-10,000",,$7000-9000,-10%,,,Current,$6500-8500,-10%,,,$7500 Slow,,Static,,,,,,,,Current,Up to $100,,,,Not to rent area,,Only a few available for rent ,,30,"Up to 14,500",Fair,1-$7500,"17, $118,000",2,None,,Ample,,,"In this area Kansas City's veteran builder, N.W. Dible, has been active during the last few years, particularly the last two years, in the creation of the English- type houses, a design feature by him. Uniform in sixe, type and position on the lot with high pointed gables, these houses form an atractive neighborhood. These new houses are selling at from $9,000 to $14,500. It is virtually the only nieghborhood of new houses in Kansas City wherein the building is not encouraged by FHA financing. Mr. Dible in his advertisements stresses the fact that his terms are ""less than FHA."" These new houses can be acquired as low as $100 cash down payment, the balance at $55 per month. Mr. Dible's company, the Home Investment Corporation, takes a second mortgage after the buyer has obtained as large a first mortgage as possible from the savings and loan association or other institution. These terms have attracted a number of buyers to the area. Mr. Dible frankly stated that he would not now be building so many houses were it not for the fact that he was burdened with all the vacant land in this area and in order to ""come out"" he found it necessary to utilize the space. ","Kansas City, MO.",First,A-9,4/15/39
5552,Greater Kansas City,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holc Loans-1 as of 4-1-39,"Grant Hurst Addition and Country Club View are included in this area. These subdivisions gained a poor start some twelve to fourteen years ago and have never developed successfully. They lie beyond the Nichols holdings in Johnson County, opposite the new Dible addition in Kansas City, Missouri. The section is so scattered that it has no adverse effect upon the better areas on teh Missouri side of the State Line. Houses here, for which there is virtually no demand, will probably sell at from $2500 to $2500.","Johnson County, Kan.",Third,C-22,4-15-39
5553,Greater Kansas City,,Yes,,,Business & professional,0%,,0%,None ,100%,,Singles 5-7 rms,,"Brick, frame & stucco",,15 years,,Good,,95.30%,,70%,,"$4200-14,500",,"$3800-13,000",-10%,,,Current,"$3500-11,500",-10%,,,6000 Fair,,Static,,$35-60,,$30-55,-10%,,,Current,$30-55,-%,,,Up to $50,Fair,Static,,45,Bungalows $5250-8500,Fair,"7 App. 35,500","24 $147,400",2,2 $6000,,Ample,1938,$37.7 Holc Loans-22 as of 4/1/39,"Between Madison and Ward Parkway in this area in the Westmoreland Addition, built up largely by N.W. Diblo and part of the Diblo. Addition to the north. This area differs from B-16 in that it has a wider range of property in size, style, and quantity, a spotted district. In the southeast portion along Washington, Pennsylvania and Jefferson are many bungalows. Along Summit, Madison, Jefferson, Ward Parkway and even to the western extremity which is the Kansas state line, the houses are generally larger than those found in B-16. Many, probably a majroity, are twenty years old. These larger houses have suffered valuation shrinkage during the last few years. There is a string of reasonably good houses, mostly 2-story brick and frame, along the east side of Ward parkway between 75th Street and the city limits. That section south of the city limits is a new district where cheaper grade of houses, from $4500 to $6000, have been recently built. This is another high pressure district growing out of FHA financing. Lower taxes are one advantage in that portion. Although the entire area is located in the southwest corner of Kansas City, Missouri, and far removed from downtown shopping district which is something of a drawback, it does have good public utility transportation, also adequate school facilities and all utilities. As a whole a good second-grade area. ","Kansas City, MO",2,B-17,2/1/39
5554,Greater Kansas City,,,,Static,Wage-earners,0,,0,None,100,,Singles 5-rm. cottage type (Other scattered types),,Frame & stucco,,15-40 years,,Fair,,95%,,60%,,3500-4500,,3000-4000,-10,,,Current,2750-4000,-10,,,3000  Fair,,Down,,30-35,,27-31.50,-10,,,Current,25-30,,,,$25,,Good,,0,,,"2 App. $7,400 Cap. V. $9,800","4  $23,000",2,"1 $3,500",,Ample,8,37.70 HOLC LOANS - 12 as of 4/1/39,"The Waldo district, an inferior and spotty third-grade section, was begun at the time it was outside the city limits. At the southwest corner are a variety of business houses, including automobile concerns, lumber-yards, coal-yards, ice houses, all of which detract from the area. It is about 60% built up of cheap frame houses, some reasonably good structures. While the business houses detract from the desirability of the neighborhood as a residential section, the area also has some advantages from these institutions, reflected in the rent situation. Surrounding the area on the east, west and north are much better grades of property. ","Kansas City, MO. ",3,C-40,2/1/39
